Name,RAJ2000,DEJ2000,z,Vmed,Per,logMBH,r,tinsp,DtGW,LC,SimbadName,RAJ2000,Class,QSO,FNUV,DEJ2000,z
SNU J13120+0641,198.01958333333300,6.685444444444440,0.242,15.82,1492,9.14,0.012,20000.0,5.07,lightcurves6.png,SDSS J131204.70+064107.5,198.019617,0,1,130.1284,6.68544,0.2419
SDSS J131706.19+271416.7,199.2758333333330,27.23797222222220,2.672,17.83,1666,9.92,0.011,77.0,33.85,lightcurves6.png,SDSS J131706.19+271416.7,199.275804,3,1,4.1442,27.237996,2.685
SDSS J131909.08+090814.7,199.78791666666700,9.137527777777780,0.882,18.01,1298,8.67,0.006,28000.0,0.34,lightcurves6.png,SDSS J131909.08+090814.7,199.787838,0,1,26.6062,9.13744,0.882735
SDSS J132103.41+123748.2,200.26416666666700,12.630027777777800,0.687,18.62,1538,8.91,0.008,24000.0,0.99,lightcurves6.png,SDSS J132103.41+123748.2,200.264228,0,1,25.5328,12.630073,0.687167
SDSS J133127.31+182416.9,202.86375000000000,18.404750000000000,0.938,17.44,1639,9.39,0.011,3000.0,5.61,lightcurves6.png,SDSS J133127.31+182416.9,202.863812,0,1,61.7284,18.404721,0.9379
SDSS J133631.45+175613.8,204.1308333333330,17.93725,0.421,18.2,1562,9.03,0.01,24000.0,2.19,lightcurves6.png,SDSS J133631.45+175613.8,204.13106,0,1,26.3857,17.937167,0.4215
SDSS J133654.44+171040.3,204.22666666666700,17.178000000000000,1.231,17.96,1408,9.24,0.008,2500.0,2.68,lightcurves7.png,SDSS J133654.44+171040.3,204.226852,0,1,32.2043,17.177883,1.2312
SDSS J133807.69+360220.3,204.5320833333330,36.03897222222220,1.196,18.44,1960,9.14,0.01,9100.0,2.09,lightcurves7.png,SDSS J133807.69+360220.3,204.53207,0,1,0.0,36.038976,1.200469
SDSS J134855.27-032141.4,207.23041666666700,-3.3615000000000000,2.099,17.19,1428,9.89,0.011,87.0,29.98,lightcurves7.png,SDSS J134855.27-032141.4,207.230308,0,1,29.6906,-3.361501,2.104287
SDSS J135225.80+132853.2,208.10750000000000,13.48147222222220,0.402,16.44,1754,8.75,0.009,100000.0,0.81,lightcurves7.png,SDSS J135225.80+132853.2,208.107517,0,1,120.3549,13.481469,0.404924
SDSS J140600.26+013252.2,211.50125000000000,1.5478888888888900,0.454,18.0,2000,8.41,0.007,470000.0,0.21,lightcurves7.png,SDSS J140600.26+013252.2,211.501105,0,1,46.5859,1.547852,0.454879
SDSS J140704.43+273556.6,211.76875000000000,27.59897222222220,2.222,17.32,1562,9.94,0.012,84.0,36.3,lightcurves7.png,SDSS J140704.43+273556.6,211.76846,3,1,27.1444,27.599069,2.225
SDSS J141425.92+171811.2,213.60791666666700,17.30322222222220,0.409,18.33,1785,8.59,0.008,190000.0,0.43,lightcurves7.png,SDSS J141425.92+171811.2,213.60804,0,1,0.0,17.303132,0.4093
3C 298.0,214.78416666666700,6.476416666666670,1.437,16.53,1960,9.57,0.013,1300.0,10.45,lightcurves7.png,3C 298.0,214.784075,0,1,50.2363,6.476334,1.43812
SDSS J142301.96+101500.1,215.7583333333330,10.250000000000000,1.052,17.96,1234,9.46,0.01,950.0,6.29,lightcurves8.png,SDSS J142301.96+101500.1,215.758194,0,1,24.4408,10.250055,1.050173
SDSS J143621.29+072720.8,219.08875000000000,7.45586111111111,0.889,17.07,1886,9.03,0.01,19000.0,1.5,lightcurves8.png,SDSS J143621.29+072720.8,219.088712,0,1,88.1767,7.455803,0.894367
SDSS J143820.60+055447.9,219.5858333333330,5.913361111111110,0.614,18.71,1851,8.19,0.006,690000.0,0.07,lightcurves8.png,SDSS J143820.60+055447.9,219.58587,0,1,23.991,5.913307,0.614093
SDSS J144754.62+132610.0,221.97750000000000,13.43622222222220,0.572,18.39,1960,8.58,0.008,190000.0,0.35,lightcurves8.png,SDSS J144754.62+132610.0,221.977589,0,1,18.8158,13.436137,0.5725
SDSS J144755.57+100040.0,221.98166666666700,10.011222222222200,0.678,17.65,862,8.93,0.006,4700.0,0.9,lightcurves8.png,SDSS J144755.57+100040.0,221.981565,0,1,59.7677,10.01112,0.678795
SDSS J150450.16+012215.5,226.20916666666700,1.3710555555555600,0.967,17.75,1724,9.2,0.01,7000.0,2.7,lightcurves8.png,SDSS J150450.16+012215.5,226.209032,0,1,36.1456,1.370993,0.966695
QNZ3:54,229.52750000000000,1.5263611111111100,1.402,18.64,1724,9.27,0.009,3100.0,3.17,lightcurves8.png,FOCAP QNZ3:54,229.527589,0,1,7.8152,1.526167,1.4016
SDSS J152035.23+095925.2,230.14666666666700,9.990472222222220,1.049,18.88,1204,9.12,0.007,3300.0,1.7,lightcurves8.png,SDSS J152035.23+095925.2,230.1468,0,1,0.6445,9.990351,1.045028
SDSS J152157.02+181018.6,230.48750000000000,18.172000000000000,0.731,18.23,1960,7.95,0.005,1600000.0,0.03,lightcurves8.png,SDSS J152157.02+181018.6,230.487586,0,1,16.8179,18.171856,0.731
SDSS J153636.22+044127.0,234.1508333333330,4.690805555555560,0.379,16.75,1111,8.82,0.007,24000.0,0.94,lightcurves8.png,SDSS J153636.22+044127.0,234.15093,0,1,19.1013,4.690837,0.3791
SDSS J154409.61+024040.0,236.04000000000000,2.677722222222220,0.964,18.72,2000,8.76,0.008,55000.0,0.53,lightcurves9.png,SDSS J154409.61+024040.0,236.04007,0,1,19.4801,2.677804,0.964345
SDSS J155449.11+084204.8,238.7045833333330,8.7015,0.786,17.03,1562,8.85,0.008,26000.0,0.76,lightcurves9.png,SDSS J155449.11+084204.8,238.704638,3,1,41.4097,8.701354,0.786
SDSS J155647.78+181531.5,239.19916666666700,18.258916666666700,1.502,18.79,1428,9.51,0.01,670.0,7.24,lightcurves9.png,SDSS J155647.78+181531.5,239.199096,0,1,0.0,18.258756,1.501271
SDSS J160730.33+144904.3,241.87625000000000,14.817833333333300,1.8,17.57,1724,9.82,0.013,250.0,24.58,lightcurves9.png,SDSS J160730.33+144904.3,241.876407,0,1,18.4865,14.817871,1.7996
SDSS J161013.67+311756.4,242.5570833333330,31.29905555555560,0.245,17.19,1724,7.92,0.005,3200000.0,0.05,lightcurves9.png,SDSS J161013.67+311756.4,242.556964,0,1,-1.0,31.299013,0.245342
SDSS J161854.64+230859.1,244.72750000000000,23.149805555555600,0.561,18.22,1666,8.37,0.006,290000.0,0.14,lightcurves9.png,SDSS J161854.64+230859.1,244.727674,0,1,14.6823,23.149755,0.561784
163107.34+560905.3,247.7808333333330,56.151416666666700,0.731,19.13,1724,8.38,0.006,220000.0,0.14,lightcurves9.png, ,247.78059,3,1,9.031,56.151484,0.731
HS 1630+2355,248.26125000000000,23.824666666666700,0.821,15.23,2040,9.86,0.02,1100.0,38.71,lightcurves9.png,HS 1630+2355,248.261102,0,1,267.0965,23.824588,0.820884
SDSS J164452.71+430752.2,251.2195833333330,43.131361111111100,1.715,17.06,2000,10.15,0.019,110.0,91.56,lightcurves9.png,SDSS J164452.71+430752.2,251.219628,0,1,15.6769,43.131186,1.70985
SDSS J165136.76+434741.3,252.9033333333330,43.79497222222220,1.604,18.13,1923,9.34,0.01,2600.0,4.12,lightcurves9.png,SDSS J165136.76+434741.3,252.903197,0,1,14.2583,43.79481,1.605951
SDSS J170616.24+370927.0,256.56750000000000,37.15750000000000,1.267,18.19,1388,9.1,0.007,3900.0,1.57,lightcurves10.png,SDSS J170616.24+370927.0,256.567676,0,1,14.3845,37.157504,1.2675
FBQS J17239+3748,260.97625000000000,37.81158333333330,0.828,17.55,1960,9.38,0.013,6000.0,6.05,lightcurves10.png,FBQS J1723+3748,260.976264,3,1,80.9764,37.811474,0.828
SDSS J172656.96+600348.5,261.7370833333330,60.06363888888890,0.991,18.5,1923,9.15,0.01,11000.0,2.33,lightcurves10.png,SDSS J172656.96+600348.5,261.737334,0,1,-1.0,60.063481,0.989528
SDSS J221016.97+122213.9,332.57083333333300,12.370555555555600,0.717,18.32,1333,9.0,0.008,11000.0,1.35,lightcurves10.png,SDSS J221016.97+122213.9,332.570748,0,1,33.3376,12.370532,0.717404
